Outcome,Method,Coef,SE,p,Y_R2,D_R2
Exp-Rated,DML Primary (RF),-0.21649200714492675,0.058352595934096606,0.00020720487231914203,0.9724781289716214,0.89431799483077
Exp-Rated,DML Primary (GBR),-0.07191167956712746,0.05126483743968053,0.16069181566924862,0.9918778063327861,0.9215995762205555
Exp-Rated,DML Primary (Lasso),-0.10670506483484715,0.041075544413088354,0.00938296714712482,0.9803174533327889,0.9736427795698612
Exp-Rated,DML Pooled (RF),-0.26654757686163344,0.05611950257078068,2.0377652118197465e-06,0.9695808163232469,0.8914861267590191
Exp-Rated,DML Pooled (GBR),-0.20716816995029974,0.04746454556417631,1.2730141097734115e-05,0.9838809433602086,0.9000993516673217
Exp-Rated,DML Pooled (Lasso),-0.30573740970078667,0.05853079296656264,1.7554308986062997e-07,0.9288663887054404,0.9247090797884717
Exp-Rated,TWFE,-0.11759469171035156,0.058486260929659126,0.04436371984472397,,
NonExp-Rated,DML Primary (RF),0.007269084093203972,0.017708855802039448,0.6814558198394941,0.984941198846306,0.89431799483077
NonExp-Rated,DML Primary (GBR),0.011265392137614858,0.014981080069072438,0.4520663158876156,0.9976803114177056,0.9215995762205555
NonExp-Rated,DML Primary (Lasso),-0.024819129871209232,0.012660581647714138,0.0499552772550222,0.993465769830443,0.9736427795698612
NonExp-Rated,DML Pooled (RF),0.011498655755086724,0.018107730725703867,0.5254195278581226,0.9837186780465671,0.8914861267590191
NonExp-Rated,DML Pooled (GBR),-0.003403502180744262,0.01581815268168857,0.8296392022404628,0.9945375529733562,0.9000993516673217
NonExp-Rated,DML Pooled (Lasso),0.026242882522352573,0.022414264676238815,0.24167448835536187,0.940734162466751,0.9247090797884717
NonExp-Rated,TWFE,-0.04684790098593003,0.021468624759080533,0.029097977897408613,,
